Comment,Designator,Footprint,LCSC
ATmega32U4-M,U1,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,C112161
OPA350,U2,SOIC-8_3.9x4.9mm_P1.27mm,C13388
16MHz,Y1,Crystal_SMD_3225-4pin_3.2x2.5mm,C13738
0.1u,"C1,C2,C3,C9",C_0603_1608Metric,C14663
1u,C7,C_0603_1608Metric,C15849
220p,C8,C_0603_1608Metric,C1603
22p,"C4,C5",C_0603_1608Metric,C1653
HRO-TYPE-C-31-M-12,USB1,HRO-TYPE-C-31-M-12-Assembly,C165948
1k,R9,R_0603_1608Metric,C21190
100,"R11,R7",R_0603_1608Metric,C22775
5.1k,"R2,R3",R_0603_1608Metric,C23186
22,"R4,R5",R_0603_1608Metric,C23345
100k,R8,R_0603_1608Metric,C25803
10k,"R1,R6",R_0603_1608Metric,C25804
47k,R10,R_0603_1608Metric,C25819
PRTR5V0U2X,D1,SOT-143,C2827688
500mA,F1,Fuse_1206_3216Metric,C70076
2N7002,Q1,SOT-23,C8545
10u,C6,C_0603_1608Metric,C96446
