Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0603_1608Metric,87.800928,-74.848051,90.0,bottom
C2,0.1u,C_0603_1608Metric,98.560928,-78.923051,0.0,bottom
C3,0.1u,C_0603_1608Metric,87.800928,-68.293051,90.0,bottom
C4,22p,C_0603_1608Metric,101.747148,-71.004712,135.0,bottom
C5,22p,C_0603_1608Metric,102.196161,-75.29685,-135.0,bottom
C6,10u,C_0603_1608Metric,87.800928,-71.393051,-90.0,bottom
C7,1u,C_0603_1608Metric,93.720928,-64.373051,90.0,bottom
C8,220p,C_0603_1608Metric,110.787178,-67.665551,0.0,bottom
C9,0.1u,C_0603_1608Metric,104.754678,-76.574301,-90.0,bottom
D1,PRTR5V0U2X,SOT-143,91.803428,-48.295551,180.0,bottom
F1,500mA,Fuse_1206_3216Metric,92.203428,-44.805551,0.0,bottom
R1,10k,R_0603_1608Metric,98.605928,-77.388051,0.0,bottom
R2,5.1k,R_0603_1608Metric,97.470928,-46.667427,0.0,bottom
R3,5.1k,R_0603_1608Metric,102.438428,-46.667427,0.0,bottom
R4,22,R_0603_1608Metric,92.390928,-51.790551,-90.0,bottom
R5,22,R_0603_1608Metric,90.644678,-51.790551,-90.0,bottom
R6,10k,R_0603_1608Metric,91.115928,-78.288051,0.0,bottom
R7,1k,R_0603_1608Metric,108.107178,-67.634301,90.0,bottom
R8,100k,R_0603_1608Metric,105.090928,-72.110551,90.0,bottom
R11,100,R_0603_1608Metric,96.200928,-68.141801,180.0,bottom
R12,100k,R_0603_1608Metric,110.83875,-66.04,180.0,bottom
U1,ATmega32U4-M,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,92.790928,-73.118051,-90.0,bottom
U2,OPA350,SOIC-8_3.9x4.9mm_P1.27mm,108.742178,-72.904301,-90.0,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,99.545928,-35.479927,0.0,bottom
Y1,16MHz,Crystal_SMD_3225-4pin_3.2x2.5mm,100.108428,-73.103051,135.0,bottom
